CountyCode,CountyName,DistrictCode,DistrictName,PercentDaysPresent,Year
03,BERGEN,5430,WALLINGTON BORO,97.1,2017-18
03,BERGEN,5755,WESTWOOD REGIONAL,97.1,2017-18
03,BERGEN,5830,WOOD-RIDGE BORO,96.6,2017-18
03,BERGEN,5880,WOODCLIFF LAKE BORO,96.1,2017-18
03,BERGEN,5920,WYCKOFF TWP,97.1,2017-18
05,BURLINGTON,0200,BASS RIVER TWP,95.5,2017-18
05,BURLINGTON,0380,BEVERLY CITY,98.1,2017-18
05,BURLINGTON,0475,BORDENTOWN REGIONAL,97.3,2017-18
05,BURLINGTON,0600,BURLINGTON CITY,97.5,2017-18
05,BURLINGTON,0605,BURLINGTON CO SPEC SERV,96.7,2017-18
05,BURLINGTON,0610,BURLINGTON CO VOCATIONAL,96.3,2017-18
05,BURLINGTON,0620,BURLINGTON TWP,97.8,2017-18
05,BURLINGTON,0830,CHESTERFIELD TWP,96.5,2017-18
05,BURLINGTON,0840,CINNAMINSON TWP,96.7,2017-18
05,BURLINGTON,1030,DELANCO TWP,96.9,2017-18
05,BURLINGTON,1060,DELRAN TWP,95.0,2017-18
05,BURLINGTON,1250,EASTAMPTON TWP,97.1,2017-18
05,BURLINGTON,1280,EDGEWATER PARK TWP,92.8,2017-18
05,BURLINGTON,1420,EVESHAM TWP,96.7,2017-18
05,BURLINGTON,1520,FLORENCE TWP,96.0,2017-18
05,BURLINGTON,1910,HAINESPORT TWP,97.4,2017-18
05,BURLINGTON,2610,LENAPE REGIONAL,97.3,2017-18
05,BURLINGTON,2850,LUMBERTON TWP,95.2,2017-18
05,BURLINGTON,2960,MANSFIELD TWP,97.2,2017-18
05,BURLINGTON,3010,MAPLE SHADE TWP,98.0,2017-18
05,BURLINGTON,3070,MEDFORD LAKES BORO,98.1,2017-18
05,BURLINGTON,3080,MEDFORD TWP,97.3,2017-18
05,BURLINGTON,3360,MOORESTOWN TWP,96.0,2017-18
05,BURLINGTON,3430,MOUNT HOLLY TWP,97.2,2017-18
05,BURLINGTON,3440,MOUNT LAUREL TWP,97.0,2017-18
05,BURLINGTON,3540,NEW HANOVER TWP,95.8,2017-18
05,BURLINGTON,3650,NORTH HANOVER TWP,96.5,2017-18
05,BURLINGTON,3690,NORTHERN BURLINGTON REG,98.6,2017-18
05,BURLINGTON,3920,PALMYRA BORO,97.1,2017-18
05,BURLINGTON,4050,PEMBERTON TWP,94.9,2017-18
05,BURLINGTON,4320,RANCOCAS VALLEY REGIONAL,99.2,2017-18
05,BURLINGTON,4450,RIVERSIDE TWP,97.4,2017-18
05,BURLINGTON,4460,RIVERTON,96.3,2017-18
05,BURLINGTON,4740,SHAMONG TWP,95.9,2017-18
05,BURLINGTON,4930,SOUTHAMPTON TWP,94.9,2017-18
05,BURLINGTON,5010,SPRINGFIELD TWP,95.5,2017-18
05,BURLINGTON,5130,TABERNACLE TWP,97.3,2017-18
05,BURLINGTON,5720,WESTAMPTON,96.3,2017-18
05,BURLINGTON,5805,WILLINGBORO TWP,90.3,2017-18
05,BURLINGTON,5890,WOODLAND TWP,96.0,2017-18
07,CAMDEN,0150,AUDUBON BORO,100.0,2017-18
07,CAMDEN,0190,BARRINGTON BORO,95.9,2017-18
07,CAMDEN,0260,BELLMAWR BORO,95.7,2017-18
07,CAMDEN,0330,BERLIN BORO,93.1,2017-18
07,CAMDEN,0340,BERLIN TWP,96.4,2017-18
07,CAMDEN,0390,BLACK HORSE PIKE REGIONAL,96.8,2017-18
07,CAMDEN,0580,BROOKLAWN BORO,94.1,2017-18
07,CAMDEN,0680,CAMDEN CITY,93.4,2017-18
07,CAMDEN,0700,CAMDEN COUNTY VOCATIONAL,95.8,2017-18
07,CAMDEN,0800,CHERRY HILL TWP,96.5,2017-18
07,CAMDEN,0880,CLEMENTON BORO,97.4,2017-18
07,CAMDEN,0940,COLLINGSWOOD BORO,97.6,2017-18
07,CAMDEN,1255,EASTERN CAMDEN COUNTY REG,96.5,2017-18
07,CAMDEN,1720,GIBBSBORO BORO,97.7,2017-18
07,CAMDEN,1770,GLOUCESTER CITY,95.2,2017-18
07,CAMDEN,1780,GLOUCESTER TWP,94.2,2017-18
07,CAMDEN,1799,"KIPP: COOPER NORCROSS, A NEW JERSEY NONPROFIT CORPORATION",98.0,2017-18
07,CAMDEN,1801,"CAMDEN PREP, INC.",98.4,2017-18
07,CAMDEN,1802,"MASTERY SCHOOLS OF CAMDEN, INC. ",99.6,2017-18
07,CAMDEN,1880,HADDON HEIGHTS BORO,89.7,2017-18
07,CAMDEN,1890,HADDON TWP,97.6,2017-18
07,CAMDEN,1900,HADDONFIELD BORO,97.6,2017-18
07,CAMDEN,2540,LAUREL SPRINGS BORO,97.7,2017-18
07,CAMDEN,2560,LAWNSIDE BORO,9999999.0,2017-18
07,CAMDEN,2670,LINDENWOLD BORO,96.9,2017-18
07,CAMDEN,2890,MAGNOLIA BORO,98.9,2017-18
07,CAMDEN,3110,MERCHANTVILLE BORO,96.1,2017-18
07,CAMDEN,3420,MOUNT EPHRAIM BORO,92.8,2017-18
07,CAMDEN,3770,OAKLYN BORO,96.8,2017-18
07,CAMDEN,4060,PENNSAUKEN TWP,96.9,2017-18
