CountyCode,CountyName,DistrictCode,DistrictName,Teachers/Admins,Female,Male,White,Hispanic,Black or African American,Asian,American Indian or Alaska Native,Native Hawaiian or Pacific Islander,Two or More Races,Year
01,ATLANTIC,4800,SOMERS POINT CITY,Teachers,86.5,13.5,95.2,1.9,1.9,0.0,0.0,1.0,0.0,2017-18
01,ATLANTIC,5350,VENTNOR CITY,Admins,83.3,16.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,5350,VENTNOR CITY,Teachers,78.3,21.7,98.6,1.4,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,5760,WEYMOUTH TWP,Admins,66.7,33.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,5760,WEYMOUTH TWP,Teachers,85.0,15.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,0040,ALLENDALE BORO,Admins,66.7,33.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,0040,ALLENDALE BORO,Teachers,84.4,15.6,97.4,0.0,0.0,2.6,0.0,0.0,0.0,2017-18
03,BERGEN,0080,ALPINE BORO,Admins,100.0,0.0,75.0,0.0,25.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,0080,ALPINE BORO,Teachers,84.0,16.0,88.0,4.0,0.0,8.0,0.0,0.0,0.0,2017-18
03,BERGEN,0285,BERGEN CO SPECIAL SERVICE,Admins,82.4,17.6,88.2,5.9,0.0,5.9,0.0,0.0,0.0,2017-18
03,BERGEN,0285,BERGEN CO SPECIAL SERVICE,Teachers,86.6,13.4,93.5,2.3,2.3,1.9,0.0,0.0,0.0,2017-18
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,Admins,31.8,68.2,95.5,4.5,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,Teachers,56.1,43.9,85.2,6.1,1.7,5.7,0.0,1.3,0.0,2017-18
03,BERGEN,0300,BERGENFIELD BORO,Admins,31.6,68.4,89.5,5.3,5.3,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,0300,BERGENFIELD BORO,Teachers,72.1,27.9,84.8,8.7,1.8,4.0,0.4,0.4,0.0,2017-18
03,BERGEN,0440,BOGOTA BORO,Admins,28.6,71.4,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,0440,BOGOTA BORO,Teachers,78.9,21.1,91.6,7.4,0.0,1.1,0.0,0.0,0.0,2017-18
03,BERGEN,0740,CARLSTADT BORO,Admins,60.0,40.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,0740,CARLSTADT BORO,Teachers,81.8,18.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,0745,CARLSTADT-EAST RUTHERFORD,Admins,57.1,42.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,0745,CARLSTADT-EAST RUTHERFORD,Teachers,63.4,36.6,92.7,4.9,0.0,2.4,0.0,0.0,0.0,2017-18
03,BERGEN,0890,CLIFFSIDE PARK BORO,Admins,46.7,53.3,93.3,0.0,0.0,0.0,0.0,6.7,0.0,2017-18
03,BERGEN,0890,CLIFFSIDE PARK BORO,Teachers,77.8,22.2,90.1,7.0,1.2,1.2,0.0,0.0,0.4,2017-18
03,BERGEN,0930,CLOSTER BORO,Admins,57.1,42.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
03,BERGEN,0930,CLOSTER BORO,Teachers,86.3,13.7,90.5,4.2,0.0,5.3,0.0,0.0,0.0,2017-18
