CountyCode,CountyName,DistrictCode,DistrictName,Teachers/Admins,Bachelors,Masters,Doctoral,HighestLevelOfEducation,HighestLevelEdPct,Year
03,BERGEN,0290,BERGEN COUNTY VOCATIONAL,Teachers,47.0,43.0,10.0,NA,9999999.0,2017-18
03,BERGEN,0300,BERGENFIELD BORO,Admin,9999999.0,95.0,5.0,NA,9999999.0,2017-18
03,BERGEN,0300,BERGENFIELD BORO,Teachers,48.0,51.0,1.0,NA,9999999.0,2017-18
03,BERGEN,0440,BOGOTA BORO,Admin,9999999.0,86.0,14.0,NA,9999999.0,2017-18
03,BERGEN,0440,BOGOTA BORO,Teachers,39.0,61.0,0.0,NA,9999999.0,2017-18
03,BERGEN,0740,CARLSTADT BORO,Admin,9999999.0,100.0,0.0,NA,9999999.0,2017-18
03,BERGEN,0740,CARLSTADT BORO,Teachers,43.0,57.0,0.0,NA,9999999.0,2017-18
03,BERGEN,0745,CARLSTADT-EAST RUTHERFORD,Admin,9999999.0,100.0,0.0,NA,9999999.0,2017-18
03,BERGEN,0745,CARLSTADT-EAST RUTHERFORD,Teachers,45.0,55.0,0.0,NA,9999999.0,2017-18
03,BERGEN,0890,CLIFFSIDE PARK BORO,Admin,9999999.0,100.0,0.0,NA,9999999.0,2017-18
03,BERGEN,0890,CLIFFSIDE PARK BORO,Teachers,64.0,36.0,0.0,NA,9999999.0,2017-18
03,BERGEN,0930,CLOSTER BORO,Admin,9999999.0,100.0,0.0,NA,9999999.0,2017-18
03,BERGEN,0930,CLOSTER BORO,Teachers,29.0,71.0,0.0,NA,9999999.0,2017-18
03,BERGEN,0990,CRESSKILL BORO,Admin,9999999.0,92.0,8.0,NA,9999999.0,2017-18
03,BERGEN,0990,CRESSKILL BORO,Teachers,54.0,46.0,0.0,NA,9999999.0,2017-18
03,BERGEN,1070,DEMAREST BORO,Admin,9999999.0,83.0,17.0,NA,9999999.0,2017-18
03,BERGEN,1070,DEMAREST BORO,Teachers,41.0,59.0,0.0,NA,9999999.0,2017-18
03,BERGEN,1130,DUMONT BORO,Admin,9999999.0,83.0,17.0,NA,9999999.0,2017-18
03,BERGEN,1130,DUMONT BORO,Teachers,56.0,43.0,1.0,NA,9999999.0,2017-18
03,BERGEN,1230,EAST RUTHERFORD BORO,Admin,9999999.0,100.0,0.0,NA,9999999.0,2017-18
03,BERGEN,1230,EAST RUTHERFORD BORO,Teachers,38.0,62.0,0.0,NA,9999999.0,2017-18
03,BERGEN,1270,EDGEWATER BORO,Admin,9999999.0,83.0,17.0,NA,9999999.0,2017-18
03,BERGEN,1270,EDGEWATER BORO,Teachers,45.0,55.0,0.0,NA,9999999.0,2017-18
03,BERGEN,1345,ELMWOOD PARK,Admin,9999999.0,100.0,0.0,NA,9999999.0,2017-18
03,BERGEN,1345,ELMWOOD PARK,Teachers,75.0,25.0,0.0,NA,9999999.0,2017-18
03,BERGEN,1360,EMERSON BORO,Admin,9999999.0,91.0,9.0,NA,9999999.0,2017-18
03,BERGEN,1360,EMERSON BORO,Teachers,54.0,46.0,0.0,NA,9999999.0,2017-18
03,BERGEN,1370,ENGLEWOOD CITY,Admin,9999999.0,100.0,0.0,NA,9999999.0,2017-18
03,BERGEN,1370,ENGLEWOOD CITY,Teachers,36.0,61.0,3.0,NA,9999999.0,2017-18
03,BERGEN,1380,ENGLEWOOD CLIFFS BORO,Admin,9999999.0,100.0,0.0,NA,9999999.0,2017-18
03,BERGEN,1380,ENGLEWOOD CLIFFS BORO,Teachers,31.0,69.0,0.0,NA,9999999.0,2017-18
03,BERGEN,1450,FAIR LAWN BORO,Admin,9999999.0,93.0,7.0,NA,9999999.0,2017-18
03,BERGEN,1450,FAIR LAWN BORO,Teachers,26.0,73.0,0.0,NA,9999999.0,2017-18
03,BERGEN,1470,FAIRVIEW BORO,Admin,9999999.0,78.0,22.0,NA,9999999.0,2017-18
03,BERGEN,1470,FAIRVIEW BORO,Teachers,71.0,29.0,0.0,NA,9999999.0,2017-18
03,BERGEN,1550,FORT LEE BORO,Admin,9999999.0,95.0,5.0,NA,9999999.0,2017-18
03,BERGEN,1550,FORT LEE BORO,Teachers,46.0,54.0,0.0,NA,9999999.0,2017-18
03,BERGEN,1580,FRANKLIN LAKES BORO,Admin,9999999.0,89.0,11.0,NA,9999999.0,2017-18
03,BERGEN,1580,FRANKLIN LAKES BORO,Teachers,41.0,58.0,1.0,NA,9999999.0,2017-18
03,BERGEN,1700,GARFIELD CITY,Admin,9999999.0,100.0,0.0,NA,9999999.0,2017-18
03,BERGEN,1700,GARFIELD CITY,Teachers,74.0,26.0,0.0,NA,9999999.0,2017-18
03,BERGEN,1760,GLEN ROCK BORO,Admin,9999999.0,80.0,20.0,NA,9999999.0,2017-18
03,BERGEN,1760,GLEN ROCK BORO,Teachers,25.0,75.0,0.0,NA,9999999.0,2017-18
03,BERGEN,1860,HACKENSACK CITY,Admin,9999999.0,94.0,6.0,NA,9999999.0,2017-18
03,BERGEN,1860,HACKENSACK CITY,Teachers,38.0,61.0,0.0,NA,9999999.0,2017-18
03,BERGEN,2050,HARRINGTON PARK BORO,Admin,9999999.0,75.0,25.0,NA,9999999.0,2017-18
03,BERGEN,2050,HARRINGTON PARK BORO,Teachers,32.0,68.0,0.0,NA,9999999.0,2017-18
03,BERGEN,2080,HASBROUCK HEIGHTS BORO,Admin,9999999.0,90.0,10.0,NA,9999999.0,2017-18
03,BERGEN,2080,HASBROUCK HEIGHTS BORO,Teachers,28.0,72.0,0.0,NA,9999999.0,2017-18
03,BERGEN,2090,HAWORTH BORO,Admin,9999999.0,100.0,0.0,NA,9999999.0,2017-18
03,BERGEN,2090,HAWORTH BORO,Teachers,38.0,62.0,0.0,NA,9999999.0,2017-18
03,BERGEN,2180,HILLSDALE BORO,Admin,9999999.0,88.0,13.0,NA,9999999.0,2017-18
03,BERGEN,2180,HILLSDALE BORO,Teachers,45.0,55.0,0.0,NA,9999999.0,2017-18
03,BERGEN,2200,HO HO KUS BORO,Admin,9999999.0,60.0,40.0,NA,9999999.0,2017-18
03,BERGEN,2200,HO HO KUS BORO,Teachers,37.0,63.0,0.0,NA,9999999.0,2017-18
03,BERGEN,2620,LEONIA BORO,Admin,9999999.0,88.0,12.0,NA,9999999.0,2017-18
03,BERGEN,2620,LEONIA BORO,Teachers,49.0,49.0,2.0,NA,9999999.0,2017-18
03,BERGEN,2710,LITTLE FERRY BORO,Admin,9999999.0,83.0,17.0,NA,9999999.0,2017-18
03,BERGEN,2710,LITTLE FERRY BORO,Teachers,45.0,55.0,0.0,NA,9999999.0,2017-18
03,BERGEN,2740,LODI BOROUGH,Admin,9999999.0,100.0,0.0,NA,9999999.0,2017-18
03,BERGEN,2740,LODI BOROUGH,Teachers,59.0,41.0,0.0,NA,9999999.0,2017-18
